Age Range,Industry,Job Title,Annual Salary,Additional Monetary Compensation,Currency,Country,State,City,Years of Professional Experience Overall,Years of Professional Experience in Field,Highest Level of Education Completed,Gender
25-34,Insurance,Underwriter,42000,0,USD,United States,Louisiana,Lafayette ,8 - 10 years,2 - 4 years,College degree,Woman
35-44,Medical Device,"Manager, Customer Support",109000,15000,USD,United States,Massachusetts,Marlborough,11 - 20 years,11 - 20 years,College degree,Woman
45-54,Health care,Nursing Home Administrator,78000,0,USD,United States,Missouri,St Louis,21 - 30 years,2 - 4 years,Master's degree,Woman
25-34,Engineering or Manufacturing,Shop Leader,73000,27000,USD,United States,Illinois,Posen,8 - 10 years,11 - 20 years,Some college,Man
25-34,"Accounting, Banking & Finance",Business analyst,66000,1500,USD,United States,Ohio,Cleveland,8 - 10 years,8 - 10 years,College degree,Woman
25-34,Recruitment or HR,Human Resources Manager ,72000,8000,USD,United States,District of Columbia,Washington DC,5-7 years,2 - 4 years,Master's degree,Woman
55-64,Manufacturing,General Manager / Quality Manager ,79508,3000,USD,United States,Ohio,Dayton,31 - 40 years,31 - 40 years,College degree,Woman
35-44,Manufacturing ,Quality Manager ,65000,5000,USD,United States ,Georgia,Valdosta,2 - 4 years,2 - 4 years,PhD,Woman
25-34,Computing or Tech,Product Manager,105000,0,USD,United States,Colorado,Denver,5-7 years,1 year or less,Master's degree,Woman
25-34,Law,Assistant District Attorney ,63500,0,USD,United States ,North Carolina,Charlotte ,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Business or Consulting,Sr. Staff Consultant,101000,16000,USD,United States,Tennessee,Nashville,11 - 20 years,11 - 20 years,Some college,Woman
25-34,Government and Public Administration,HR Manager,76360,0,USD,United States,Virginia,Powhatan,11 - 20 years,8 - 10 years,College degree,Woman
25-34,Computing or Tech,Product Manager,130000,0,USD,United States,California,Palo Alto,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Computing or Tech,Software Developer ,66000,0,USD,United States,Ohio,Cleveland ,2 - 4 years,2 - 4 years,College degree,Woman
45-54,Health care,Outpatient coder,45302,0,USD,United States,Ohio,Hillsboro ,8 - 10 years,8 - 10 years,College degree,Woman
25-34,Business or Consulting,Senior Consultant,85000,5000,USD,United States,Pennsylvania,Harrisburg,8 - 10 years,2 - 4 years,Master's degree,Woman
35-44,"Accounting, Banking & Finance",Staff accountant ,62500,5000,USD,United States,Massachusetts,Springfield ,8 - 10 years,5-7 years,College degree,Woman
45-54,Media & Digital,editor ,94000,6000,USD,United States,Texas,San Antonio ,21 - 30 years,21 - 30 years,Master's degree,Woman
35-44,Health care,Nhs manager,51000,500,GBP,United Kingdom,Unknown,London,11 - 20 years,8 - 10 years,Master's degree,Woman
25-34,Nonprofits,Communications Director,80000,0,USD,United States,Ohio,Columbus,8 - 10 years,8 - 10 years,College degree,Woman
25-34,Hospitality & Events,Assistant manager,38000,3000,USD,United States,Florida,Riverview,5-7 years,5-7 years,College degree,Woman
25-34,Insurance,Data Analyst ,57630,300,USD,United States,Iowa,Dubuque ,8 - 10 years,2 - 4 years,Master's degree,Woman
35-44,Health care,Project Coordinator ,58000,0,USD,United States,Texas,Houston ,21 - 30 years,5-7 years,Some college,Unknown
25-34,Sales,Community loyalty team representative,43000,1000,USD,United States,New York,Norwich,8 - 10 years,5-7 years,College degree,Woman
25-34,Retail,Assistant Store Manager ,69500,5000,USD,United States,New Jersey,Parsippany ,5-7 years,5-7 years,College degree,Woman
35-44,Computing or Tech,Software Developer,102500,7706,CAD,Canada,Unknown,Vancouver BC,11 - 20 years,11 - 20 years,College degree,Woman
55-64,Government and Public Administration,Senior Manager,87000,0,USD,United States,Montana,HELENA,21 - 30 years,21 - 30 years,College degree,Woman
25-34,Health care,Registered Nurse,73800,5000,USD,United states,Missouri,Saint Louis,11 - 20 years,11 - 20 years,College degree,Woman
45-54,Engineering or Manufacturing,Logistics Coordinator ,60000,3000,USD,United States,Ohio,Columbus ,21 - 30 years,11 - 20 years,College degree,Woman
55-64,Health care,Nursing instructor ,80000,0,CAD,Canada,Unknown,Smithers,5-7 years,8 - 10 years,College degree,Woman
25-34,Biotech/Pharma,Scientist I,130000,25000,USD,United States,Massachusetts,Waltham,1 year or less,1 year or less,PhD,Man
25-34,Insurance,Junior Underwriter ,51000,2700,CAD,Canada,Unknown,Halifax ,5-7 years,1 year or less,College degree,Woman
55-64,Insurance,Business Analyst I,61000,5000,USD,United States,Missouri,Clayton,21 - 30 years,5-7 years,Master's degree,Woman
25-34,Computing or Tech,Incident Response Consultant,136500,44000,USD,United States,Georgia,Atlanta,11 - 20 years,5-7 years,Master's degree,Woman
35-44, Buyer,Management assistant ,76650,2300,USD,United States ,Massachusetts,Waltham,11 - 20 years,2 - 4 years,Some college,Woman
45-54,"Accounting, Banking & Finance",Administrator,39832,945,USD,United States,Montana,Bozeman,21 - 30 years,2 - 4 years,College degree,Woman
35-44,"Accounting, Banking & Finance",Senior Accounting Manager,137421,0,USD,United States,Virginia,Fairfax,21 - 30 years,11 - 20 years,Master's degree,Woman
25-34,Insurance,Lead CSR,50000,3000,USD,United states,Michigan,Southfield,5-7 years,2 - 4 years,College degree,Woman
35-44,Law,Head of department / solicitor,60000,0,GBP,United Kingdom,Unknown,Exeter,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Health care,Nurse Informatics Specialist,98000,0,USD,United States,Connecticut,Bristol ,1 year or less,5-7 years,College degree,Woman
35-44,Health care,Nurse Practitioner ,124800,0,USD,United States,Massachusetts,Dedham,11 - 20 years,8 - 10 years,Master's degree,Woman
25-34,Transport or Logistics,Material Planner,66000,4000,USD,United States,Tennessee,Chattanooga,5-7 years,2 - 4 years,College degree,Woman
35-44,"Accounting, Banking & Finance",Accounting Manager,89000,5000,USD,United States ,Nebraska,North Platte,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Software Products,Analytics Manager,115000,0,USD,United States,Massachusetts,Boston,5-7 years,2 - 4 years,Master's degree,Woman
35-44,Health care,principal program manager ,175000,30000,USD,United States,California,Sacramento ,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Entertainment,General Manager,36800,5000,USD,United States,Missouri,St Louis,8 - 10 years,5-7 years,Some college,Woman
35-44,Computing or Tech,Business Analyst ,72250,2200,USD,United States,Texas,Dallas,11 - 20 years,2 - 4 years,College degree,Woman
35-44,Business or Consulting,Director of Contracts,155000,10000,USD,United States,District of Columbia,Washington,11 - 20 years,11 - 20 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Indirect lending ,56000,5000,USD,United states ,Iowa,Dubuque ,11 - 20 years,5-7 years,College degree,Woman
35-44,Nonprofits,Satellite office manager ,41500,1000,USD,United States ,Florida,Ocala ,11 - 20 years,11 - 20 years,Master's degree,Woman
45-54,Health care,Director of Education ,123000,0,USD,United States,Indiana,Indianapolis ,21 - 30 years,8 - 10 years,Master's degree,Woman
45-54,Education (Higher Education),Director of Sponsored Programs and Research Compliance,91000,1200,USD,United States,Maine,North of Portland,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Business or Consulting,Sourcing Lead,77000,27000,USD,United States,Washington,"Vancouver, WA",8 - 10 years,8 - 10 years,College degree,Woman
25-34,Education (Higher Education),Admissions Counselor,42000,0,USD,United States,Tennessee,Memphis,2 - 4 years,1 year or less,College degree,Woman
55-64,Education (Primary/Secondary),school psychologist,92000,0,USD,United States,California,Lake Elsinor,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Transport or Logistics,Director of Transportation ,62000,5000,USD,United States,Iowa,Waterloo,5-7 years,5-7 years,Some college,Man
35-44,Insurance,Underwriter ,109000,5000,USD,United States ,Minnesota,St Paul ,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Ministry,Youth Pastor,42000,0,USD,United States,Arkansas,Fayetteville,5-7 years,5-7 years,College degree,Man
55-64,Business or Consulting,Customer Service Manager,78000,12000,USD,United States,New Hampshire,Manchester,21 - 30 years,11 - 20 years,Unknown,Woman
25-34,Health care,Clinical Pharmacist,129000,8000,USD,United States,Utah,Salt Lake City,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Computing or Tech,Manager,101900,16000,USD,United States,Virginia,Arlington,11 - 20 years,5-7 years,College degree,Woman
